Name,DG_Year,DG_Amount,Publications_6Yrs,Citations_6Yrs
"Azim, Akramul",2020,23000.0,28,217
"Bacchus, Fahiem",2017,46000.0,25,983
"Bacchus, Fahiem",2016,46000.0,27,1004
"Bacchus, Fahiem",2021,92000.0,19,334
"Bacchus, Fahiem",2023,8593.0,16,207
"Bacchus, Fahiem",2019,46000.0,24,828
"Bacchus, Fahiem",2018,46000.0,24,808
"Badri, Linda",2008,12000.0,22,383
"Badri, Mourad",2017,20000.0,31,333
"Bagheri, Ebrahim",2012,23000.0,65,5043
"Bagheri, Ebrahim",2013,23000.0,75,5346
"Bagheri, Ebrahim",2014,23000.0,74,5315
"Bagheri, Ebrahim",2011,23000.0,53,4640
"Bagheri, Ebrahim",2010,18000.0,40,4398
"Balakrishnan, Ravin",2018,34000.0,26,870
"Balakrishnan, Ravin",2017,34000.0,33,1057
"Balakrishnan, Ravin",2019,34000.0,24,618
"Balakrishnan, Ravin",2020,34000.0,20,475
"Balakrishnan, Ravin",2021,68000.0,19,451
"Baltes, Hansjorg(Jacky)",2010,23000.0,41,289
"Baltes, Hansjorg(Jacky)",2008,23000.0,37,326
"Baltes, Hansjorg(Jacky)",2009,23000.0,37,297
"Baniasadi, Amirali",2021,23000.0,22,65
"Baniasadi, Amirali",2022,23000.0,20,65
"Baniasadi, Amirali",2023,23000.0,22,57
"Baniasadi, Amirali",2020,23000.0,24,69
"Baniasadi, Amirali",2019,23000.0,28,103
"Baniasadi, Amirali",2018,23000.0,34,131
"Banzhaf, Wolfgang",2016,34000.0,82,1651
"Banzhaf, Wolfgang",2015,34000.0,82,2101
"Banzhaf, Wolfgang",2009,25000.0,70,2828
"Banzhaf, Wolfgang",2014,34000.0,90,2276
"Banzhaf, Wolfgang",2013,34000.0,93,2823
"Banzhaf, Wolfgang",2012,34000.0,88,3162
"Banzhaf, Wolfgang",2011,25000.0,82,3122
"Banzhaf, Wolfgang",2010,25000.0,74,2174
"Banzhaf, Wolfgang",2008,25000.0,60,2836
"Baranoski, Gladimir",2010,20000.0,34,913
"Baranoski, Gladimir",2012,20000.0,35,547
"Baranoski, Gladimir",2018,24000.0,39,415
"Baranoski, Gladimir",2019,24000.0,37,316
"Baranoski, Gladimir",2017,24000.0,31,361
"Baranoski, Gladimir",2023,29000.0,41,143
"Baranoski, Gladimir",2013,20000.0,38,565
"Baranoski, Gladimir",2015,24000.0,36,525
"Baranoski, Gladimir",2014,20000.0,35,533
"Baranoski, Gladimir",2011,20000.0,39,710
"Baranoski, Gladimir",2021,29000.0,38,235
"Baranoski, Gladimir",2016,24000.0,42,504
"Baranoski, Gladimir",2020,29000.0,42,252
"Baranoski, Gladimir",2022,29000.0,36,145
"Barcomb, Ann",2023,24000.0,17,151
"Barcomb, Ann",2022,24000.0,17,137
"Barcomb, Ann",2021,24000.0,18,133
"Barker, Ken",2021,40000.0,19,194
"Barker, Ken",2020,20000.0,16,212
"Barker, Kenneth",2019,20000.0,20,224
"Barker, Kenneth",2017,20000.0,30,425
"Barker, Kenneth",2018,20000.0,21,223
"Barradas, Diogo",2023,31000.0,16,319
"Beaudry, Éric",2023,24000.0,13,121
"Beaudry, Éric",2022,24000.0,14,128
"Becker, Christoph",2021,44000.0,9,31
"Becker, Christoph",2020,22000.0,16,159
"Becker, Christoph",2019,22000.0,24,434
"Becker, Christoph",2016,22000.0,65,2594
"Becker, Christoph",2017,22000.0,52,1705
"Becker, Christoph",2018,22000.0,39,793
"Belilovsky, Eugene",2022,24000.0,4,28
"Belilovsky, Eugene",2021,24000.0,1,3
"Belilovsky, Eugene",2023,24000.0,9,115
"BenAyed, Ismail",2014,34800.0,49,1301
"BenAyed, Ismail",2018,34800.0,56,1579
"BenAyed, Ismail",2017,34800.0,47,1644
"BenAyed, Ismail",2015,34800.0,50,1361
"BenAyed, Ismail",2016,34800.0,53,1592
"BenHamza, Abdessamad",2016,20000.0,41,840
"BenHamza, Abdessamad",2017,20000.0,41,809
"BenHamza, Abdessamad",2013,20000.0,42,770
"BenHamza, Abdessamad",2014,20000.0,39,805
"BenHamza, Abdessamad",2015,20000.0,43,973
"Benoit, Darcy",2008,11500.0,13,116
"Bergeron, Anne",2020,26000.0,50,1644
"Bergeron, Anne",2019,26000.0,52,1617
"Bergeron, Anne",2014,26000.0,51,2037
"Bergeron, Anne",2015,26000.0,54,2400
"Bergeron, Anne",2016,26000.0,53,2259
"Bergeron, Anne",2021,26000.0,42,1258
"Berry, Daniel",2012,19000.0,67,8803
"Berry, Daniel",2010,19000.0,78,9292
"Berry, Daniel",2023,36000.0,189,4129
"Berry, Daniel",2019,31000.0,116,6076
"Berry, Daniel",2020,31000.0,148,7061
"Berry, Daniel",2017,31000.0,89,5822
"Berry, Daniel",2018,31000.0,103,6566
"Berry, Daniel",2021,31000.0,164,6831
"Berry, Daniel",2015,19000.0,72,8710
"Berry, Daniel",2016,31000.0,83,7126
"Berry, Daniel",2011,19000.0,74,10177
"Berry, Daniel",2008,34700.0,96,7995
"Berry, Daniel",2009,19000.0,85,6861
"Beschastnikh, Ivan",2023,35000.0,59,1922
"Beschastnikh, Ivan",2022,35000.0,55,1994
"Beschastnikh, Ivan",2021,35000.0,51,1866
"Beschastnikh, Ivan",2014,23000.0,26,1069
"Beschastnikh, Ivan",2015,23000.0,28,1138
"Beschastnikh, Ivan",2016,23000.0,34,1291
"Beschastnikh, Ivan",2018,23000.0,37,1027
"Beschastnikh, Ivan",2017,23000.0,34,1341
"Beschastnikh, Ivan",2019,23000.0,43,1617
"Beschastnikh, Ivan",2020,35000.0,49,1761
"Bessmeltsev, Mikhail",2023,28000.0,11,289
"Bessmeltsev, Mikhail",2022,28000.0,11,292
"Bessmeltsev, Mikhail",2021,28000.0,9,303
"Bessmeltsev, Mikhail",2020,28000.0,7,245
"Betz, Vaughn",2015,22000.0,30,1236
"Betz, Vaughn",2014,22000.0,22,772
"Betz, Vaughn",2013,22000.0,15,452
"Betz, Vaughn",2012,22000.0,15,427
"Betz, Vaughn",2011,22000.0,14,466
"Beyer, Dirk",2010,24000.0,39,3601
"Beyer, Dirk",2011,15610.0,46,3513
"Beyer, Dirk",2009,24000.0,41,3061
"Beyer, Dirk",2008,24000.0,39,2868
"Bezemer, Cor-Paul",2023,28000.0,59,1411
"Bezemer, CorPaul",2022,28000.0,51,1605
"Bezemer, CorPaul",2020,28000.0,38,1413
"Bezemer, CorPaul",2021,28000.0,43,1513
"Bhattacharya, Binay",2021,22000.0,20,127
"Bhattacharya, Binay",2020,22000.0,28,172
"Bhattacharya, Binay",2016,22000.0,27,188
"Bhattacharya, Binay",2017,22000.0,27,164
"Bhattacharya, Binay",2018,22000.0,30,185
"Bhattacharya, Binay",2019,22000.0,29,172
"Bhavsar, Virendrakumar",2012,14000.0,29,285
"Bhavsar, Virendrakumar",2013,14000.0,25,136
"Bhavsar, Virendrakumar",2015,14000.0,27,146
"Bhavsar, Virendrakumar",2016,14000.0,27,150
"Bhavsar, Virendrakumar",2014,14000.0,24,125
"Biddle, Robert",2011,34000.0,120,4228
"Biddle, Robert",2008,23500.0,134,3480
"Biddle, Robert",2009,23500.0,140,4070
"Biddle, Robert",2013,34000.0,95,4478
"Biddle, Robert",2014,34000.0,71,3196
"Biddle, Robert",2012,34000.0,114,4129
"Biddle, Robert",2010,34000.0,130,4285
"Biddle, Robert",2022,29000.0,47,375
"Biddle, Robert",2023,29000.0,32,218
"Biddle, Robert",2015,29000.0,64,2663
"Biletskiy, Yevgen",2014,15000.0,30,306
"Biletskiy, Yevgen",2013,15000.0,33,370
"Biletskiy, Yevgen",2012,15000.0,36,392
"Biletskiy, Yevgen",2011,15000.0,35,319
"Biletskiy, Yevgen",2010,15000.0,33,305
"Birol, Inanc",2023,56000.0,98,5806
"Birol, Inanc",2022,28000.0,95,6912
"Birol, Inanc",2021,28000.0,103,11005
"Birol, Inanc",2020,28000.0,95,16592
"Birol, Inanc",2019,28000.0,101,36264
"Blais, Eric",2015,34000.0,24,720
"Blais, Eric",2016,34000.0,30,874
"Blais, Eric",2021,34000.0,27,463
"Blais, Eric",2018,34000.0,28,598
"Blais, Eric",2017,34000.0,31,814
"Blais, Eric",2020,34000.0,28,626
"Blais, Eric",2019,34000.0,26,563
"Blustein, WilliamJames",2014,15000.0,0,0
"Blustein, WilliamJames",2013,15000.0,0,0
"Blustein, WilliamJames",2016,15000.0,0,0
"Blustein, WilliamJames",2015,15000.0,0,0
"Blustein, WilliamJames",2017,15000.0,0,0
"Bonakdarpour, Borzoo",2015,20603.0,51,714
"Bonakdarpour, Borzoo",2014,27000.0,48,708
"Bonakdarpour, Borzoo",2012,27000.0,36,503
"Bonakdarpour, Borzoo",2013,27000.0,40,634
"Bonakdarpour, Borzoo",2017,27000.0,57,879
